student_id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,target_subject_1,target_subject_2,target_subject_3,target_subject_4,target_subject_5,target_subject_6,target_subject_7,satisfaction_score
S001,4,1,0,1,5,0,5,1,6,0,3,5,Industrial Technology Multimedia,Physics,Health and Movement Science,Physics,Visual Arts,Hospitality,English Standard,9
S002,3,2,0,4,4,1,5,1,2,1,3,5,Mathematics Advanced,Biblical Studies,Industrial Technology Multimedia,Health and Movement Science,School of Languages,Drama,,10
S003,10,2,1,6,1,0,7,3,4,1,3,8,English Extension,Software Engineering,Mathematics Advanced,Physics,Mathematics Standard,Hospitality,Health and Movement Science,9
S004,5,4,1,8,3,1,2,2,8,0,2,6,Biology,Drama,Society and Culture,Business Studies,Health and Movement Science,Legal Studies,Biblical Studies,10
S005,9,2,1,5,4,0,1,3,2,1,3,7,English Standard,Physics,Visual Arts,Industrial Technology Multimedia,Mathematics Extension 2,Biology,English Extension,7
S006,6,2,1,3,4,1,3,2,3,0,3,2,Biology,Health and Movement Science,Biblical Studies,Drama,Biblical Studies,Food Technology,,9
S007,8,1,0,4,3,0,9,2,2,1,1,9,Mathematics Extension 1,Geography,Mathematics Advanced,Biology,Mathematics Standard,Health and Movement Science,,9
S008,3,4,1,3,2,1,2,3,9,1,3,1,Engineering Studies,Physics,English Standard,School of Languages,English Advanced,English Extension,,7
S009,7,1,0,6,4,0,3,1,5,1,2,10,Engineering Studies,Physics,Mathematics Advanced,Visual Arts,Mathematics Extension 1,Biology,,7
S010,8,1,1,2,3,0,7,2,3,1,3,8,Visual Arts,Mathematics Standard,Visual Arts,Mathematics Extension 1,Health and Movement Science,Mathematics Extension 2,Hospitality,8
S011,2,2,0,6,5,0,1,2,1,0,2,1,English Extension,English Extension,Hospitality,Drama,Hospitality,Health and Movement Science,,9
S012,10,3,1,1,5,1,4,1,6,1,3,10,Mathematics Extension 1,Physics,English Advanced,Hospitality,Health and Movement Science,Biology,,8
S013,3,3,0,9,3,0,6,4,2,0,3,3,Visual Arts,Health and Movement Science,Society and Culture,Commerce,Drama,Music,,7
S014,4,4,0,7,1,1,1,3,9,0,1,3,Biology,English Extension,Community and Family Studies,Legal Studies,Business Studies,Mathematics Standard,,7
S015,5,2,1,6,2,1,7,1,6,0,4,9,Hospitality,Ancient History,Health and Movement Science,Food Technology,Visual Arts,Engineering Studies,Ancient History,9
S016,3,3,0,10,1,1,5,4,1,1,1,2,Health and Movement Science,Music,Visual Arts,English Advanced,Physics,Drama,,7
S017,4,5,1,2,2,1,2,3,8,1,1,1,English Standard,English Extension,Music,English Advanced,Physics,Health and Movement Science,,7
S018,3,2,1,7,1,0,1,4,4,1,2,5,English Standard,Physics,Drama,Visual Arts,Mathematics Extension 1,Music,School of Languages,8
S019,6,1,0,8,3,1,5,4,3,1,1,1,Commerce,Health and Movement Science,Design and Technology,Visual Arts,Music,Drama,Physics,9
S020,6,5,0,7,2,1,3,3,7,1,2,1,Biblical Studies,Legal Studies,Biology,Industrial Technology Timber,Music,Geography,,10
S021,10,1,1,2,1,1,9,2,2,0,3,7,Community and Family Studies,Mathematics Standard,Commerce,Business Studies,Mathematics Extension 2,Mathematics Extension 1,,10
S022,5,2,0,2,5,1,2,1,4,0,3,4,English Advanced,English Extension,English Advanced,Music,Health and Movement Science,Software Engineering,Physics,9
S023,4,5,0,10,2,1,2,1,9,0,1,2,Commerce,Food Technology,Community and Family Studies,Legal Studies,Mathematics Advanced,Health and Movement Science,,8
S024,4,5,1,7,2,1,6,2,10,1,2,3,Health and Movement Science,Economics,Health and Movement Science,Community and Family Studies,Society and Culture,Drama,,7
